오더No,상품코드,케이스사이즈(W),케이스사이즈(L),케이스사이즈(H),케이스중량,케이스수,취급구분,카테고리
531,7614125,179.3,336.16,138.38,160.4,1,0,Small
531,1461938,112.2,247.5,69.08,36.1,2,0,Small
531,1427096,122.54,289.3,95.26,72,1,0,Small
531,18012289,124.74,258.72,91.96,50.1,1,0,Small
531,8915257,114.4,280.94,98.34,61.4,1,0,Small
531,20920402,112.64,279.18,99.66,49.9,1,0,Small
531,2809465,108.68,272.14,83.16,34.9,1,0,Small
537,7613287,184.58,341.44,139.04,180.8,4,0,Large
537,2710946,117.92,281.6,110.88,87.4,6,0,Large
537,7614358,181.06,340.34,141.9,160,3,0,Large
537,7612571,353.54,507.54,185.24,664.4,1,0,Large
537,7613484,184.58,343.2,140.36,160.9,2,0,Large
537,27135843,282.26,334.4,136.62,390,1,0,Large
537,1126405,183.48,432.96,56.98,111.2,1,0,Large
537,3421892,210.32,325.6,189.64,413.1,1,0,Large
537,3911899,100.1,279.18,82.72,39.1,2,0,Large
537,1464056,214.94,241.78,88.88,126.5,1,0,Large
537,1131411,146.52,288.64,84.7,88.3,1,0,Large
537,3212455,140.36,259.82,104.5,64.8,1,0,Large
537,8102279,125.84,289.3,115.72,42.7,1,0,Large
537,1427096,122.54,289.3,95.26,72,1,0,Large
537,27008397,119.68,278.74,97.9,59.5,1,0,Large
537,2807821,136.84,237.6,105.6,44.7,1,0,Large
537,20913203,113.74,259.38,96.8,58.4,1,0,Large
537,20923756,113.74,257.62,96.8,52.6,1,0,Large
537,3208483,111.54,242.88,68.64,43.9,1,0,Large
537,2709444,101.86,256.96,75.02,41,1,0,Large
537,2813658,103.4,243.76,73.26,32.9,1,0,Large
537,27007915,80.96,244.64,111.54,42.7,1,0,Large
543,1117507,182.82,434.06,57.86,110.4,2,0,Middle
543,3005798,178.2,417.12,53.24,109.7,2,0,Middle
543,1131383,197.78,328.02,161.04,169.4,2,0,Middle
543,1427109,292.16,335.06,132.88,302.6,1,0,Middle
543,112600412,136.18,343.86,93.06,110.4,2,0,Middle
543,1131411,146.52,288.64,84.7,88.3,2,0,Middle
543,1226268,130.46,289.3,78.54,56.6,2,0,Middle
543,5005116,188.1,317.9,185.46,200.8,1,0,Middle
543,4602115,116.16,287.54,86.24,41.5,1,0,Middle
543,1229862,106.26,287.54,84.7,42.9,1,0,Middle
543,1265984,104.5,224.18,74.14,36.5,1,0,Middle
543,20924384,83.38,260.48,105.38,46.2,1,0,Middle
548,1543866,222.64,417.78,180.4,536.2,2,0,Small
548,13202616,199.98,423.06,57.42,104.9,1,0,Small
548,6302798,109.78,278.08,79.42,34.4,2,0,Small
548,5208531,163.24,338.58,155.98,234.4,1,0,Small
548,14305168,141.9,295.9,138.82,177,1,0,Small
550,7612529,357.06,513.92,185.46,663.7,3,0,Large
550,2113494,216.26,334.4,181.94,281.8,2,0,Large
550,2120903,147.18,230.56,149.6,156.7,3,0,Large
550,1543996,102.74,260.92,87.56,47.7,3,0,Large
550,1544076,132.88,283.36,98.78,63.7,2,0,Large
550,2308234,124.74,276.1,102.3,70.6,2,0,Large
550,7613899,184.58,343.2,139.92,159.7,1,0,Large
550,1544088,122.98,249.92,100.1,46.6,2,0,Large
550,13803529,152.46,177.1,86.02,92.5,2,0,Large
550,1542132,102.3,258.06,86.9,40.1,2,0,Large
550,15611922,102.96,244.2,62.26,30.6,2,0,Large
550,2504281,101.86,246.4,81.62,38.2,2,0,Large
550,1536682,100.76,246.4,87.12,32.4,2,0,Large
550,2121007,97.68,232.32,75.02,40.2,2,0,Large
550,1110584,99.44,211.2,67.54,23.2,2,0,Large
550,2120784,163.24,224.62,206.58,199.9,1,0,Large
550,2121476,135.74,269.94,121,84,1,0,Large
550,1540824,124.08,268.62,105.38,54.5,1,0,Large
550,1459795,133.54,232.98,101.86,49.9,1,0,Large
550,2119228,101.86,276.32,127.16,87.1,1,0,Large
550,1426586,78.32,243.54,108.9,38.7,1,0,Large
551,5209859,319,358.38,119.68,261.4,2,0,Large
551,13203832,203.5,240.02,109.34,109.3,4,0,Large
551,14304661,148.94,293.92,113.08,120.6,3,0,Large
551,6107876,133.98,322.08,110.66,126.3,3,0,Large
551,13203177,157.74,253.66,74.14,41.9,3,0,Large
551,5904239,133.98,221.1,73.26,39.4,4,0,Large
551,2816337,214.5,392.48,134.64,172.8,1,0,Large
551,5903808,108.02,243.98,77.44,44.1,3,0,Large
551,3421174,99,255.86,75.02,43.9,3,0,Large
551,2809662,183.48,410.08,108.02,122.5,1,0,Large
551,5904424,224.84,312.62,111.1,203.4,1,0,Large
551,14306227,204.16,335.5,227.92,467.5,1,0,Large
551,5209808,108.68,322.74,94.6,53,1,0,Large
551,2308767,124.52,278.3,102.96,72.2,1,0,Large
551,6108059,111.54,302.06,93.06,52.5,1,0,Large
551,22903487,127.6,259.82,92.62,46.5,1,0,Large
551,5205916,112.2,278.74,74.14,44.9,1,0,Large
551,6302798,109.78,278.08,79.42,34.4,1,0,Large
551,3421695,106.92,276.32,82.72,41.6,1,0,Large
551,4807853,104.06,266.86,77,36.1,1,0,Large
551,1535403,101.2,265.1,84.48,48.2,1,0,Large
551,1128091,114.84,224.18,73.7,44.3,1,0,Large
572,3517966,203.5,432.3,62.92,128.3,2,0,Small
572,1110596,198.88,229.9,93.28,77.8,2,0,Small
572,3517942,190.3,425.26,65.56,115.4,1,0,Small
572,3518449,137.94,281.6,87.56,84.3,2,0,Small
572,1918347,113.3,291.5,102.96,52.2,2,0,Small
572,1131292,150.7,255.86,94.16,85.6,1,0,Small
572,1918908,124.08,271.7,98.78,43.9,1,0,Small
572,18700737,114.84,235.18,85.58,54.7,1,0,Small
572,1922255,81.62,262.24,111.98,40,1,0,Small
572,1127724,98.34,209.44,67.32,23.4,1,0,Small
576,4910854,266.64,361.46,112.86,239,3,0,Middle
576,4912162,140.36,357.28,111.32,115.2,3,0,Middle
576,130803423,148.06,267.74,84.04,65.1,2,0,Middle
576,1924124,202.84,357.94,247.94,426.6,1,0,Middle
576,1463822,110.44,267.52,113.96,78.6,2,0,Middle
576,1119533,198.88,198.88,181.06,293.3,1,0,Middle
576,1924281,125.18,268.18,82.72,48.5,1,0,Middle
576,1469401,157.74,159.72,184.14,163.9,1,0,Middle
576,8101548,98.34,246.4,92.62,32.4,1,0,Middle
576,1130794,103.4,233.42,78.76,34.9,1,0,Middle
577,2810694,385.22,431.86,149.82,488.7,1,0,Large
577,1131526,192.94,373.12,170.5,176.4,2,0,Large
577,1462996,328.9,368.5,89.54,204.6,1,0,Large
577,4910854,266.64,361.46,112.86,239,1,0,Large
577,3419147,188.54,436.48,78.98,98,1,0,Large
577,2017598,235.18,340.78,98.34,149.8,1,0,Large
577,5303574,258.06,301.62,184.14,338.9,1,0,Large
577,3421186,246.62,293.26,94.82,183.1,1,0,Large
577,2113494,216.26,334.4,181.94,281.8,1,0,Large
577,2807821,136.84,237.6,105.6,44.7,2,0,Large
577,1131344,198.88,326.7,158.62,170.2,1,0,Large
577,4005939,104.06,234.08,79.86,42.9,2,0,Large
577,3421802,136.84,313.94,89.1,83.4,1,0,Large
577,1538003,115.5,359.04,86.24,64.5,1,0,Large
577,2121073,107.58,337.92,91.74,64,1,0,Large
577,4403649,120.12,302.06,94.16,65.4,1,0,Large
577,4403625,119.68,299.86,94.6,50,1,0,Large
577,2017002,124.74,269.28,100.1,73.7,1,0,Large
577,1132221,125.18,267.3,99.66,49.8,1,0,Large
577,1132269,123.64,270.38,99.66,50.5,1,0,Large
577,1131892,143.22,226.38,128.26,57.5,1,0,Large
577,4910069,112.2,283.36,111.98,58.6,1,0,Large
577,4809643,117.26,265.1,94.82,61.7,1,0,Large
577,5826012,113.3,266.86,88.44,44.1,1,0,Large
577,1713212,110.44,257.62,79.2,36.2,1,0,Large
577,1713263,109.78,258.06,80.96,40.4,1,0,Large
577,3914515,102.96,274.56,74.36,34,1,0,Large
577,4909937,99.44,264.44,65.12,33.5,1,0,Large
577,4401771,105.16,246.4,88.66,37.3,1,0,Large
577,4400491,104.5,245.74,84.7,33.9,1,0,Large
577,1536955,102.3,246.18,86.24,38.6,1,0,Large
577,2017405,101.2,248.82,72.38,37.6,1,0,Large
577,1536682,100.76,246.4,87.12,32.4,1,0,Large
577,1536722,99,245.74,88,33.8,1,0,Large
577,1229144,99.44,221.76,103.62,38,1,0,Large
578,7613406,184.58,341.44,138.6,160.5,4,0,Large
578,27127155,204.6,303.82,172.48,183.4,4,0,Large
578,7612529,357.06,513.92,185.46,663.7,1,0,Large
578,20923562,102.96,282.04,85.8,33.8,3,0,Large
578,20921551,141.46,261.58,112.64,104.6,2,0,Large
578,27145381,133.98,273.46,115.94,48,2,0,Large
578,22902638,126.94,284.46,93.28,36.1,2,0,Large
578,2710919,119.02,282.7,109.12,61.4,2,0,Large
578,27127131,202.62,300.96,174.02,147.1,1,0,Large
578,52507982,147.62,283.36,113.52,86.4,1,0,Large
578,9101301,113.3,335.5,81.4,54.1,1,0,Large
578,22901607,126.28,269.94,73.92,38.9,1,0,Large
578,22901646,123.64,269.28,74.36,49,1,0,Large
578,13202967,113.74,292.16,86.9,44.9,1,0,Large
578,27146401,115.5,282.26,90.86,45.9,1,0,Large
578,1131892,143.22,226.38,128.26,57.5,1,0,Large
578,13201987,108.02,289.74,101.86,56,1,0,Large
578,1131929,125.18,232.98,148.5,63.6,1,0,Large
578,22900275,112.2,258.06,88.22,57.2,1,0,Large
578,130803395,106.92,242,74.36,37.8,1,0,Large
578,20921721,101.86,246.4,85.8,39.6,1,0,Large
578,20919536,84.48,249.26,104.5,44.5,1,0,Large
579,2507115,204.16,256.96,205.7,192,8,0,Large
579,2509583,280.06,332.64,137.06,410,1,0,Large
579,1544088,122.98,249.92,100.1,46.6,2,0,Large
579,1459862,231.22,257.62,104.06,129.6,1,0,Large
579,1226138,105.16,258.72,81.18,52.3,2,0,Large
579,1464068,217.36,243.98,154.66,233.9,1,0,Large
579,1227078,131.12,292.16,102.96,88.7,1,0,Large
579,2121073,107.58,337.92,91.74,64,1,0,Large
579,2710894,119.02,294.8,97.9,57.3,1,0,Large
579,2019261,124.08,279.84,102.08,58.2,1,0,Large
579,1227027,115.5,290.4,95.26,74,1,0,Large
579,1230752,108.02,308.66,85.14,54.6,1,0,Large
579,1918347,113.3,291.5,102.96,52.2,1,0,Large
579,2803535,114.84,280.94,82.94,37.8,1,0,Large
579,1916009,114.4,280.5,103.4,46.3,1,0,Large
579,2806344,113.3,276.98,100.54,80.2,1,0,Large
579,2509398,137.28,227.7,112.42,83.4,1,0,Large
579,2815878,96.58,304.48,115.06,52.6,1,0,Large
579,1263997,123.64,236.5,89.1,44.6,1,0,Large
579,2016579,113.74,256.74,100.32,46.5,1,0,Large
579,2123357,108.02,268.18,93.28,42.2,1,0,Large
579,1540299,110.88,256.96,82.72,45.7,1,0,Large
579,2710607,108.68,261.14,80.3,40,1,0,Large
579,1713263,109.78,258.06,80.96,40.4,1,0,Large
579,2120406,108.02,258.72,91.96,35.2,1,0,Large
579,1229717,102.96,267.52,80.3,40.9,1,0,Large
579,2706386,104.94,259.16,73.7,38.3,1,0,Large
579,1543996,102.74,260.92,87.56,47.7,1,0,Large
579,2121216,112.2,238.26,97.02,67.7,1,0,Large
579,1538575,106.92,248.16,94.82,36.2,1,0,Large
579,2016788,103.4,255.86,76.34,42.4,1,0,Large
579,1129344,113.74,232.32,76.56,41.2,1,0,Large
579,1539985,105.82,249.26,94.38,29.6,1,0,Large
579,1542638,102.3,247.06,89.98,44.9,1,0,Large
579,1462199,90.2,275.44,118.14,40.7,1,0,Large
579,2508813,101.2,243.98,87.78,42.2,1,0,Large
579,2114071,94.82,246.4,89.1,38.3,1,0,Large
579,1229144,99.44,221.76,103.62,38,1,0,Large
579,1127724,98.34,209.44,67.32,23.4,1,0,Large
581,7612529,357.06,513.92,185.46,663.7,3,0,Large
581,7611955,354.64,513.26,185.46,664.9,1,0,Large
581,7612323,355.3,509.74,185.46,667.2,1,0,Large
581,7612023,354.2,511.06,185.46,664.1,1,0,Large
581,9101273,124.74,356.62,68.64,34.3,1,0,Large
581,9101301,113.3,335.5,81.4,54.1,1,0,Large
581,8915257,114.4,280.94,98.34,61.4,1,0,Large
581,5005076,141.46,225.28,126.06,126.4,1,0,Large
581,4809643,117.26,265.1,94.82,61.7,1,0,Large
581,5826012,113.3,266.86,88.44,44.1,1,0,Large
581,4911716,123.64,238.26,89.32,51.5,1,0,Large
581,8103053,99.44,247.06,92.62,34.9,1,0,Large
581,6503575,98.34,247.5,82.28,35.4,1,0,Large
582,27127155,204.6,303.82,172.48,183.4,2,0,Small
582,13201703,182.82,256.96,180.62,102,1,0,Small
582,13201375,146.08,256.96,126.72,66.1,1,0,Small
582,22903487,127.6,259.82,92.62,46.5,1,0,Small
582,22901516,127.6,256.3,86.24,46.4,1,0,Small
582,13200889,108.68,291.06,102.08,43.5,1,0,Small
582,22900275,112.2,258.06,88.22,57.2,1,0,Small
582,14306215,113.74,248.82,78.76,56.7,1,0,Small
582,14304531,142.12,192.5,85.8,58,1,0,Small
582,27139305,101.2,269.94,86.9,47.1,1,0,Small
589,7611928,353.54,554.4,187,678,4,0,Large
589,7611797,354.2,512.16,185.68,665.4,1,0,Large
589,3006399,298.32,353.76,130.9,223.7,1,0,Large
589,4405387,122.98,303.38,97.46,58.4,2,0,Large
589,1263101,233.42,287.98,100.98,177.2,1,0,Large
589,7613263,182.82,339.68,139.7,159.6,1,0,Large
589,1464068,217.36,243.98,154.66,233.9,1,0,Large
589,2121046,124.74,404.8,49.06,29.1,1,0,Large
589,1230634,134.64,367.84,71.28,43.3,1,0,Large
589,2017471,137.28,291.06,78.1,38.2,1,0,Large
589,2016579,113.74,256.74,100.32,46.5,1,0,Large
589,1426705,104.5,268.18,79.86,40.3,1,0,Large
589,2706386,104.94,259.16,73.7,38.3,1,0,Large
594,10503971,259.38,493.46,68.42,200.2,2,0,Small
594,1117443,184.58,433.62,58.08,110.9,1,0,Small
594,2121476,135.74,269.94,121,84,2,0,Small
594,2113479,92.62,245.96,92.4,37.7,2,0,Small
594,3914057,138.6,268.18,103.84,55.2,1,0,Small
594,1269931,137.94,241.78,106.48,64.6,1,0,Small
594,9100527,136.18,222.86,93.06,51.5,1,0,Small
594,1711876,106.92,265.76,92.84,54.6,1,0,Small
608,6415901,277.2,290.4,92.18,127.5,2,0,Middle
608,7613354,181.72,339.68,141.24,159.6,2,0,Middle
608,7614358,181.06,340.34,141.9,160,2,0,Middle
608,3422075,170.06,454.74,245.52,264.4,1,0,Middle
608,7613472,184.58,339.68,140.14,160,1,0,Middle
608,2806411,113.74,279.18,83.16,36.3,1,0,Middle
608,2507845,100.76,243.54,90.2,63.6,1,0,Middle
608,2223339,101.2,236.5,66.66,48.2,1,0,Middle
608,20922879,83.82,281.6,103.62,37.2,1,0,Middle
